source,record,beat_index,qrs_onset_error_ms,t_offset_error_ms,qrs_onset_sigma_ms,t_offset_sigma_ms,qt_error_ms
same_protocol_validation,sel16420,0,-11.3831787109375,19.9583740234375,15.570712089538574,29.608272552490234,31.341552734375
same_protocol_validation,sel16420,1,-13.03155517578125,-3.5914306640625,15.422086715698242,29.33156967163086,9.44012451171875
same_protocol_validation,sel16420,2,-9.54638671875,22.71728515625,15.892906188964844,30.046184539794922,32.263671875
same_protocol_validation,sel16420,3,-15.38323974609375,8.9627685546875,15.588780403137207,29.486907958984375,24.34600830078125
same_protocol_validation,sel16420,4,-17.42242431640625,14.67626953125,15.4932279586792,29.382186889648438,32.09869384765625
same_protocol_validation,sel16420,5,-5.53814697265625,10.0977783203125,15.197149276733398,28.91867446899414,15.63592529296875
same_protocol_validation,sel16420,6,-5.3192138671875,7.44140625,15.743599891662598,29.735754013061523,12.7606201171875
same_protocol_validation,sel16420,7,-1.114013671875,5.9400634765625,15.343029975891113,29.141931533813477,7.0540771484375
same_protocol_validation,sel16420,8,-5.15582275390625,15.4908447265625,15.541308403015137,29.409591674804688,20.64666748046875
same_protocol_validation,sel16420,9,-12.2447509765625,-5.914306640625,15.68720817565918,29.655576705932617,6.3304443359375
same_protocol_validation,sel16420,10,-12.55218505859375,14.5897216796875,16.009592056274414,30.215028762817383,27.14190673828125
same_protocol_validation,sel16420,11,-3.50048828125,22.5682373046875,15.377043724060059,29.157634735107422,26.0687255859375
same_protocol_validation,sel16420,12,-18.20947265625,14.611083984375,15.397963523864746,29.18379783630371,32.820556640625
same_protocol_validation,sel16420,13,-20.45294189453125,9.3680419921875,15.543421745300293,29.465120315551758,29.82098388671875
same_protocol_validation,sel16420,14,-10.016357421875,12.9981689453125,15.608402252197266,29.65796661376953,23.0145263671875
same_protocol_validation,sel16420,15,-0.50347900390625,4.013427734375,15.443942070007324,29.293731689453125,4.51690673828125
same_protocol_validation,sel16420,16,-9.19403076171875,10.1143798828125,15.393211364746094,29.138511657714844,19.30841064453125
same_protocol_validation,sel16420,17,-14.18310546875,12.9971923828125,15.583846092224121,29.53542709350586,27.1802978515625
same_protocol_validation,sel16420,18,-6.46923828125,18.80126953125,15.577827453613281,29.549217224121094,25.2705078125
same_protocol_validation,sel16420,19,-14.92364501953125,14.8414306640625,15.569969177246094,29.566818237304688,29.76507568359375
same_protocol_validation,sel16420,20,-20.149169921875,-9.4544677734375,15.863256454467773,30.046096801757812,10.6947021484375
same_protocol_validation,sel16420,21,-9.32012939453125,15.00048828125,15.461633682250977,29.306838989257812,24.32061767578125
same_protocol_validation,sel16420,22,-14.11834716796875,-19.63916015625,15.20154857635498,28.970901489257812,-5.52081298828125
same_protocol_validation,sel16420,23,-16.40576171875,3.5347900390625,15.179296493530273,28.903316497802734,19.9405517578125
same_protocol_validation,sel16420,24,-16.29315185546875,15.460693359375,15.737902641296387,29.79056167602539,31.75384521484375
same_protocol_validation,sel16420,25,-20.13275146484375,13.2681884765625,15.280545234680176,29.086673736572266,33.40093994140625
same_protocol_validation,sel16420,26,0.50146484375,-12.28564453125,15.4805269241333,29.32713508605957,-12.787109375
same_protocol_validation,sel16420,27,-13.54266357421875,12.60302734375,15.732994079589844,29.804176330566406,26.14569091796875
same_protocol_validation,sel16420,28,-9.886962890625,7.0003662109375,15.017240524291992,28.60112190246582,16.8873291015625
same_protocol_validation,sel16420,29,5.82257080078125,0.73046875,15.33551025390625,29.09685707092285,-5.09210205078125
same_protocol_validation,sel16273,0,-2.3529052734375,3.5177001953125,16.388614654541016,30.683629989624023,5.87060546875
