specification,record,subject_id,lead,tau_s,baseline_cv_r2
sta_individualized,s20011,s2001,0,10.0,0.4733790246021569
sta_individualized,s20011,s2001,1,10.0,0.4692837117822919
sta_individualized,s20021,s2002,0,10.0,-0.1389925323544018
sta_individualized,s20021,s2002,1,10.0,-0.488021223692879
sta_individualized,s20031,s2003,0,10.0,-0.0487525501151759
sta_individualized,s20031,s2003,1,10.0,-0.208480394828416
sta_individualized,s20041,s2004,0,240.0,0.1416654539980246
sta_individualized,s20041,s2004,1,120.0,0.1767130086944524
sta_individualized,s20051,s2005,0,60.0,0.6337785018723202
sta_individualized,s20061,s2006,0,60.0,0.3358112313446926
sta_individualized,s20071,s2007,0,30.0,0.0828837841511308
sta_individualized,s20071,s2007,1,15.0,0.1110335250659093
sta_individualized,s20081,s2008,0,45.0,0.4147798557231413
sta_individualized,s20081,s2008,1,45.0,0.4965412624483555
sta_individualized,s20091,s2009,0,20.0,0.6215503562560281
sta_individualized,s20091,s2009,1,20.0,0.7150291343852161
sta_individualized,s20101,s2010,0,240.0,0.058401561161262
sta_individualized,s20101,s2010,1,300.0,-0.0204058940069864
sta_individualized,s20111,s2011,0,30.0,0.4147574673818021
sta_individualized,s20111,s2011,1,10.0,0.3047855963869454
sta_individualized,s20121,s2012,0,10.0,-0.6279151816899227
sta_individualized,s20131,s2013,0,60.0,0.6516962513906224
sta_individualized,s20131,s2013,1,45.0,0.2851839567686539
sta_individualized,s20141,s2014,0,10.0,0.0834055833306558
sta_individualized,s20141,s2014,1,30.0,0.3808718060434031
sta_individualized,s20151,s2015,1,20.0,-0.1022295893223301
sta_individualized,s20161,s2016,0,90.0,-0.1450281777403007
sta_individualized,s20161,s2016,1,150.0,0.0734114907364458
sta_individualized,s20171,s2017,0,10.0,0.234821612225265
sta_individualized,s20171,s2017,1,10.0,0.4734626136420557
sta_individualized,s20181,s2018,1,45.0,0.5220754203186077
sta_individualized,s20191,s2019,0,10.0,0.0849911023945821
sta_individualized,s20191,s2019,1,10.0,0.0622268872113964
sta_individualized,s20201,s2020,0,60.0,0.4121978426084581
sta_individualized,s20211,s2021,0,30.0,0.5193163221987042
sta_individualized,s20211,s2021,1,30.0,0.5896182551817299
sta_individualized,s20221,s2022,0,150.0,-0.4678264748379558
sta_individualized,s20231,s2023,0,15.0,0.5737321164696573
sta_individualized,s20231,s2023,1,20.0,0.7153706207026249
sta_individualized,s20241,s2024,0,45.0,0.4830496227473895
sta_individualized,s20241,s2024,1,20.0,0.4390138950269808
sta_individualized,s20251,s2025,0,45.0,0.564168354728998
sta_individualized,s20251,s2025,1,45.0,0.6367894661686655
sta_individualized,s20261,s2026,0,10.0,-0.1766684473051404
sta_individualized,s20261,s2026,1,10.0,-0.116864366462874
sta_individualized,s20271,s2027,0,60.0,0.5524825501727421
sta_individualized,s20271,s2027,1,60.0,0.5625737571404874
sta_individualized,s20272,s2027,0,45.0,0.4749807784013057
sta_individualized,s20272,s2027,1,60.0,0.4388473031797572
sta_individualized,s20273,s2027,0,10.0,0.4986954221787112
sta_individualized,s20273,s2027,1,30.0,0.5789183574803428
sta_individualized,s20274,s2027,0,45.0,0.4835977711401493
sta_individualized,s20274,s2027,1,60.0,0.4536655317691117
sta_individualized,s20281,s2028,0,300.0,0.1377957856362735
sta_individualized,s20291,s2029,0,10.0,-0.0263775872134958
sta_individualized,s20291,s2029,1,10.0,-0.3751504824240743
sta_individualized,s20301,s2030,0,10.0,-0.0458841405224817
sta_individualized,s20311,s2031,0,10.0,0.2835176395076706
sta_individualized,s20311,s2031,1,10.0,0.0849782057292291
sta_individualized,s20321,s2032,0,45.0,0.0151533002735045
sta_individualized,s20331,s2033,0,10.0,-2.651941958177533
sta_individualized,s20341,s2034,0,10.0,-0.2744892917347533
sta_individualized,s20351,s2035,0,30.0,0.0987592261545908
sta_individualized,s20351,s2035,1,20.0,0.1428417509008202
sta_individualized,s20361,s2036,0,15.0,0.4375721208114299
sta_individualized,s20361,s2036,1,30.0,0.4996047913411261
sta_individualized,s20371,s2037,0,45.0,0.5067997067772313
sta_individualized,s20371,s2037,1,10.0,0.6617617787156934
sta_individualized,s20381,s2038,0,10.0,-1.6387888649834903
sta_individualized,s20381,s2038,1,10.0,-1.311060719941319
sta_individualized,s20391,s2039,0,30.0,0.2335425967006753
sta_individualized,s20391,s2039,1,15.0,0.2026218326851835
sta_individualized,s20401,s2040,0,60.0,0.3589835133565126
sta_individualized,s20401,s2040,1,90.0,0.3325845677973151
sta_individualized,s20411,s2041,0,10.0,0.0301901983672617
sta_individualized,s20411,s2041,1,300.0,-0.0614595512571308
sta_individualized,s20421,s2042,1,90.0,0.246021685728053
sta_individualized,s20431,s2043,0,20.0,0.7144588579922482
sta_individualized,s20431,s2043,1,20.0,0.6184277225056836
sta_individualized,s20441,s2044,0,45.0,0.0416507889978157
sta_individualized,s20441,s2044,1,10.0,0.0738693067194981
sta_individualized,s20451,s2045,0,15.0,0.3430424354487958
sta_individualized,s20451,s2045,1,15.0,0.3940613388153696
sta_individualized,s20461,s2046,0,90.0,-0.5542881587213423
sta_individualized,s20461,s2046,1,10.0,-0.0526434107386591
sta_individualized,s20471,s2047,0,120.0,-0.1099135390761449
sta_individualized,s20471,s2047,1,10.0,0.2784994153107457
sta_individualized,s20481,s2048,0,45.0,0.0005683486417983
sta_individualized,s20491,s2049,0,45.0,0.3211589968713396
sta_individualized,s20491,s2049,1,10.0,0.3090809159046151
sta_individualized,s20511,s2051,0,10.0,-0.5476801927151319
sta_individualized,s20511,s2051,1,10.0,-0.3817107690259849
sta_individualized,s20521,s2052,0,300.0,0.052811034912384
sta_individualized,s20521,s2052,1,10.0,0.0476440253889004
sta_individualized,s20541,s2054,0,15.0,0.554129151847832
sta_individualized,s20541,s2054,1,30.0,0.2708931649715179
sta_individualized,s20551,s2055,0,10.0,-0.3701598108740877
sta_individualized,s20551,s2055,1,10.0,-0.4425519660084642
sta_individualized,s20561,s2056,0,10.0,-0.090108459354506
sta_individualized,s20571,s2057,0,10.0,-1.237835864887352
sta_individualized,s20581,s2058,0,10.0,0.5768254505964616
sta_individualized,s20591,s2059,0,60.0,0.1240557178573302
sta_individualized,s20601,s2060,0,150.0,-0.0813924923112671
sta_individualized,s20601,s2060,1,300.0,0.0888339935737635
sta_individualized,s20611,s2061,1,30.0,0.3567841240647079
sta_individualized,s20621,s2062,0,10.0,-0.3094496806369362
sta_individualized,s20621,s2062,1,10.0,-0.1043695397017978
sta_individualized,s20631,s2063,0,10.0,0.5143426875088313
sta_individualized,s20631,s2063,1,10.0,0.2413566845261662
sta_individualized,s20641,s2064,0,60.0,0.4705741044582739
sta_individualized,s20641,s2064,1,30.0,0.4192449231925715
sta_individualized,s20651,s2065,0,10.0,-0.5452071507878333
sta_individualized,s20651,s2065,1,10.0,-0.074321212350111
sta_individualized,s30661,s3066,0,10.0,-1.0699203999467186
sta_individualized,s30661,s3066,1,10.0,-0.9466410197768432
sta_individualized,s30661,s3066,2,10.0,-0.6980107795109558
sta_individualized,s30671,s3067,0,10.0,-0.1994016920144857
sta_individualized,s30671,s3067,1,10.0,-0.2262028959927699
sta_individualized,s30671,s3067,2,10.0,0.1165844377852914
sta_individualized,s30681,s3068,0,30.0,0.3936558387285191
sta_individualized,s30681,s3068,1,20.0,0.2238244808548495
sta_individualized,s30681,s3068,2,10.0,0.2274967540228912
sta_individualized,s30691,s3069,0,30.0,0.2108130229879428
sta_individualized,s30691,s3069,1,45.0,-0.1530597366752666
