record,subject_id,header_available,signal_available,n_leads
s20011,s2001,True,True,2
s20021,s2002,True,True,2
s20031,s2003,True,True,2
s20041,s2004,True,True,2
s20051,s2005,True,True,2
s20061,s2006,True,True,2
s20071,s2007,True,True,2
s20081,s2008,True,True,2
s20091,s2009,True,True,2
s20101,s2010,True,True,2
s20111,s2011,True,True,2
s20121,s2012,True,True,2
s20131,s2013,True,True,2
s20141,s2014,True,True,2
s20151,s2015,True,True,2
s20161,s2016,True,True,2
s20171,s2017,True,True,2
s20181,s2018,True,True,2
s20191,s2019,True,True,2
s20201,s2020,True,True,2
s20211,s2021,True,True,2
s20221,s2022,True,True,2
s20231,s2023,True,True,2
s20241,s2024,True,True,2
s20251,s2025,True,True,2
s20261,s2026,True,True,2
s20271,s2027,True,True,2
s20272,s2027,True,True,2
s20273,s2027,True,True,2
s20274,s2027,True,True,2
s20281,s2028,True,True,2
s20291,s2029,True,True,2
s20301,s2030,True,True,2
s20311,s2031,True,True,2
s20321,s2032,True,True,2
s20331,s2033,True,True,2
s20341,s2034,True,True,2
s20351,s2035,True,True,2
s20361,s2036,True,True,2
s20371,s2037,True,True,2
s20381,s2038,True,True,2
s20391,s2039,True,True,2
s20401,s2040,True,True,2
s20411,s2041,True,True,2
s20421,s2042,True,True,2
s20431,s2043,True,True,2
s20441,s2044,True,True,2
s20451,s2045,True,True,2
s20461,s2046,True,True,2
s20471,s2047,True,True,2
s20481,s2048,True,True,2
s20491,s2049,True,True,2
s20501,s2050,True,True,2
s20511,s2051,True,True,2
s20521,s2052,True,True,2
s20531,s2053,True,True,2
s20541,s2054,True,True,2
s20551,s2055,True,True,2
s20561,s2056,True,True,2
s20571,s2057,True,True,2
s20581,s2058,True,True,2
s20591,s2059,True,True,2
s20601,s2060,True,True,2
s20611,s2061,True,True,2
s20621,s2062,True,True,2
s20631,s2063,True,True,2
s20641,s2064,True,True,2
s20651,s2065,True,True,2
s30661,s3066,True,True,3
s30671,s3067,True,True,3
s30681,s3068,True,True,3
s30691,s3069,True,True,3
s30701,s3070,True,True,3
s30711,s3071,True,True,3
s30721,s3072,True,True,3
s30731,s3073,True,True,3
s30732,s3073,True,True,3
s30741,s3074,True,True,3
s30742,s3074,True,True,3
s30751,s3075,True,True,3
s30752,s3075,True,True,3
s30761,s3076,True,True,3
s30771,s3077,True,True,3
s30781,s3078,True,True,3
s30791,s3079,True,True,3
s30801,s3080,True,True,3
