panel,time_s,amplitude_mv
A baseline,-0.8,-0.115
A baseline,-0.796,-0.105
A baseline,-0.792,-0.09
A baseline,-0.788,-0.085
A baseline,-0.784,-0.09
A baseline,-0.78,-0.08
A baseline,-0.776,-0.06
A baseline,-0.772,-0.045
A baseline,-0.768,-0.035
A baseline,-0.764,-0.02
A baseline,-0.76,0.0
A baseline,-0.756,0.005
A baseline,-0.752,0.005
A baseline,-0.748,0.005
A baseline,-0.744,0.01
A baseline,-0.74,0.025
A baseline,-0.736,0.04
A baseline,-0.732,0.045
A baseline,-0.728,0.045
A baseline,-0.724,0.055
A baseline,-0.72,0.07
A baseline,-0.716,0.07
A baseline,-0.712,0.065
A baseline,-0.708,0.08
A baseline,-0.704,0.095
A baseline,-0.7,0.11
A baseline,-0.696,0.12
A baseline,-0.692,0.11
A baseline,-0.688,0.105
A baseline,-0.684,0.105
A baseline,-0.68,0.1
A baseline,-0.676,0.095
A baseline,-0.672,0.095
A baseline,-0.668,0.11
A baseline,-0.664,0.125
A baseline,-0.66,0.135
A baseline,-0.656,0.145
A baseline,-0.652,0.165
A baseline,-0.648,0.175
A baseline,-0.644,0.18
A baseline,-0.64,0.185
A baseline,-0.636,0.195
A baseline,-0.632,0.195
A baseline,-0.628,0.18
A baseline,-0.624,0.165
A baseline,-0.62,0.155
A baseline,-0.616,0.145
A baseline,-0.612,0.135
A baseline,-0.608,0.115
A baseline,-0.604,0.085
A baseline,-0.6,0.08
A baseline,-0.596,0.09
A baseline,-0.592,0.08
A baseline,-0.588,0.06
A baseline,-0.584,0.045
A baseline,-0.58,0.035
A baseline,-0.576,0.035
A baseline,-0.572,0.04
A baseline,-0.568,0.035
A baseline,-0.564,0.025
A baseline,-0.56,0.025
A baseline,-0.556,0.03
A baseline,-0.552,0.03
A baseline,-0.548,0.025
A baseline,-0.544,0.025
A baseline,-0.54,0.035
A baseline,-0.536,0.04
A baseline,-0.532,0.04
A baseline,-0.528,0.035
A baseline,-0.524,0.03
A baseline,-0.52,0.025
A baseline,-0.516,0.025
A baseline,-0.512,0.045
A baseline,-0.508,0.065
A baseline,-0.504,0.065
A baseline,-0.5,0.06
A baseline,-0.496,0.055
A baseline,-0.492,0.05
A baseline,-0.488,0.045
A baseline,-0.484,0.045
A baseline,-0.48,0.045
A baseline,-0.476,0.045
A baseline,-0.472,0.045
A baseline,-0.468,0.045
A baseline,-0.464,0.045
A baseline,-0.46,0.04
A baseline,-0.456,0.035
A baseline,-0.452,0.025
A baseline,-0.448,0.015
A baseline,-0.444,0.015
A baseline,-0.44,0.015
A baseline,-0.436,0.005
A baseline,-0.432,0.0
A baseline,-0.428,-0.005
A baseline,-0.424,-0.01
A baseline,-0.42,-0.02
A baseline,-0.416,-0.03
A baseline,-0.412,-0.025
A baseline,-0.408,-0.015
A baseline,-0.404,-0.02
A baseline,-0.4,-0.03
A baseline,-0.396,-0.035
A baseline,-0.392,-0.04
A baseline,-0.388,-0.04
A baseline,-0.384,-0.035
A baseline,-0.38,-0.035
A baseline,-0.376,-0.045
A baseline,-0.372,-0.055
A baseline,-0.368,-0.065
A baseline,-0.364,-0.07
A baseline,-0.36,-0.07
A baseline,-0.356,-0.06
A baseline,-0.352,-0.055
A baseline,-0.348,-0.06
A baseline,-0.344,-0.065
A baseline,-0.34,-0.065
A baseline,-0.336,-0.065
A baseline,-0.332,-0.075
A baseline,-0.328,-0.075
A baseline,-0.324,-0.055
A baseline,-0.32,-0.045
A baseline,-0.316,-0.05
A baseline,-0.312,-0.055
A baseline,-0.308,-0.065
A baseline,-0.304,-0.075
A baseline,-0.3,-0.075
A baseline,-0.296,-0.07
A baseline,-0.292,-0.065
A baseline,-0.288,-0.06
A baseline,-0.284,-0.055
A baseline,-0.28,-0.055
A baseline,-0.276,-0.055
A baseline,-0.272,-0.05
A baseline,-0.268,-0.045
A baseline,-0.264,-0.045
A baseline,-0.26,-0.045
A baseline,-0.256,-0.05
A baseline,-0.252,-0.06
A baseline,-0.248,-0.06
A baseline,-0.244,-0.055
A baseline,-0.24,-0.055
A baseline,-0.236,-0.055
A baseline,-0.232,-0.055
A baseline,-0.228,-0.06
A baseline,-0.224,-0.055
A baseline,-0.22,-0.045
A baseline,-0.216,-0.05
A baseline,-0.212,-0.06
A baseline,-0.208,-0.065
A baseline,-0.204,-0.06
A baseline,-0.2,-0.045
A baseline,-0.196,-0.035
A baseline,-0.192,-0.04
A baseline,-0.188,-0.045
A baseline,-0.184,-0.05
A baseline,-0.18,-0.055
A baseline,-0.176,-0.06
A baseline,-0.172,-0.065
A baseline,-0.168,-0.065
A baseline,-0.164,-0.06
A baseline,-0.16,-0.055
A baseline,-0.156,-0.05
A baseline,-0.152,-0.045
A baseline,-0.148,-0.035
A baseline,-0.144,-0.01
A baseline,-0.14,0.015
A baseline,-0.136,0.04
A baseline,-0.132,0.065
A baseline,-0.128,0.09
A baseline,-0.124,0.105
A baseline,-0.12,0.105
A baseline,-0.116,0.11
A baseline,-0.112,0.125
A baseline,-0.108,0.135
A baseline,-0.104,0.135
A baseline,-0.1,0.115
A baseline,-0.096,0.09
A baseline,-0.092,0.065
A baseline,-0.088,0.04
A baseline,-0.084,0.015
A baseline,-0.08,0.0
A baseline,-0.076,-0.02
A baseline,-0.072,-0.04
A baseline,-0.068,-0.06
A baseline,-0.064,-0.08
A baseline,-0.06,-0.095
A baseline,-0.056,-0.11
A baseline,-0.052,-0.115
A baseline,-0.048,-0.12
A baseline,-0.044,-0.125
A baseline,-0.04,-0.125
A baseline,-0.036,-0.125
A baseline,-0.032,-0.12
A baseline,-0.028,-0.1
A baseline,-0.024,-0.085
A baseline,-0.02,-0.09
A baseline,-0.016,-0.08
A baseline,-0.012,0.01
A baseline,-0.008,0.15
A baseline,-0.004,0.485
A baseline,0.0,0.85
A baseline,0.004,1.32
A baseline,0.008,1.725
A baseline,0.012,1.965
A baseline,0.016,1.85
A baseline,0.02,1.05
